method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,combo,cfg_max_match_dist_factor,cfg_min_match_ratio,cfg_allow_forward_fallback,cfg_n_starts,cfg_n_icp_iter,cfg_lambda_reg,cfg_trim_ratio
asm,0.5,20260210,True,0.0347639824527312,0.0,24977.865035645664,39.9833869934082,8651,43.000511169433594,39.9833869934082,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,0.5,20260211,True,0.03893113790733576,0.0,19851.008407771587,39.58395767211914,6957,42.75627136230469,39.58395767211914,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,1.5,20260210,True,0.08116198149652004,0.0,18231.96147195995,33.94401931762695,3190,37.43402099609375,33.94401931762695,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,1.5,20260211,True,0.09086504677056872,0.0,13322.565495036542,43.95722961425781,3870,46.790504455566406,43.95722961425781,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,2.5,20260210,True,0.14835495119096717,0.0,19117.036337032914,42.19895935058594,4821,45.15593338012695,42.19895935058594,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,2.5,20260211,False,0.15395956778681677,0.0,9548.680232837796,45.23627853393555,2720,47.95003890991211,45.23627853393555,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,3.5,20260210,False,0.20182548892563587,0.0,16203.802794218063,42.884437561035156,4191,45.784149169921875,42.884437561035156,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.21144638753831124,0.0,4193.083902820945,42.83792495727539,1253,45.71056365966797,42.83792495727539,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,4.5,20260210,False,0.26358978811503814,0.0,13743.968969210982,43.55281066894531,3476,46.40602493286133,43.55281066894531,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,4.5,20260211,False,1.1881419412656282,0.0,2843.7471045181155,41.30426025390625,143,44.151123046875,41.30426025390625,asm_icp_gpu,c00,0.5,0.05,True,80,40,0.001,0.9
asm,0.5,20260210,True,0.0347639824527312,0.0,21522.22661487758,39.9833869934082,8651,43.000511169433594,39.9833869934082,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03893113790733576,0.0,19870.867774821818,39.58395767211914,6957,42.75627136230469,39.58395767211914,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,1.5,20260210,True,0.08116198149652004,0.0,18162.47840691358,33.94401931762695,3190,37.43402099609375,33.94401931762695,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,1.5,20260211,True,0.09086504677056872,0.0,13343.734352849424,43.95722961425781,3870,46.790504455566406,43.95722961425781,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,2.5,20260210,True,0.14835495119096717,0.0,18868.41544136405,42.19895935058594,4821,45.15593338012695,42.19895935058594,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,2.5,20260211,False,0.15395956778681677,0.0,9588.370490819216,45.23627853393555,2720,47.95003890991211,45.23627853393555,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,3.5,20260210,False,0.20182548892563587,0.0,16284.528670832515,42.884437561035156,4191,45.784149169921875,42.884437561035156,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.21144638753831124,0.0,4187.8894958645105,42.83792495727539,1253,45.71056365966797,42.83792495727539,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,4.5,20260210,False,0.26358978811503814,0.0,13677.910645492375,43.55281066894531,3476,46.40602493286133,43.55281066894531,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,4.5,20260211,False,1.1881419412656282,0.0,2819.9753230437636,41.30426025390625,143,44.151123046875,41.30426025390625,asm_icp_gpu,c01,0.5,0.05,False,80,40,0.001,0.9
asm,0.5,20260210,False,1.2348713129885884,0.0,21452.01798249036,39.555233001708984,333,42.4864501953125,39.555233001708984,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,0.5,20260211,True,0.03893113790733576,0.0,19607.191370800138,39.58395767211914,6957,42.75627136230469,39.58395767211914,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,1.5,20260210,True,0.08116198149652004,0.0,18147.91366737336,33.94401931762695,3190,37.43402099609375,33.94401931762695,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,1.5,20260211,False,0.8831006526410956,0.0,13314.58869855851,39.311866760253906,180,42.480865478515625,39.311866760253906,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,2.5,20260210,False,1.1239896559105478,0.0,18886.37470267713,38.33821487426758,377,41.49436950683594,38.33821487426758,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,2.5,20260211,False,1.1671911078152126,0.0,9371.68502714485,40.6890754699707,120,43.74815368652344,40.6890754699707,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,3.5,20260210,False,1.1643888464711238,0.0,16069.424907676876,41.000389099121094,317,43.90494155883789,41.000389099121094,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.9903420122971277,0.0,4183.631150983274,39.62061309814453,69,42.270484924316406,39.62061309814453,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,4.5,20260210,False,1.2609678667564947,0.0,13810.91554183513,38.78146743774414,165,41.80765151977539,38.78146743774414,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,4.5,20260211,False,1.2273059263527062,0.0,2834.2288760468364,39.47599792480469,69,42.17280197143555,39.47599792480469,asm_icp_gpu,c02,0.5,0.02,True,80,40,0.001,0.9
asm,0.5,20260210,False,1.2348713129885884,0.0,21544.857187196612,39.555233001708984,333,42.4864501953125,39.555233001708984,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03893113790733576,0.0,19655.984102748334,39.58395767211914,6957,42.75627136230469,39.58395767211914,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,1.5,20260210,True,0.08116198149652004,0.0,18121.991655789316,33.94401931762695,3190,37.43402099609375,33.94401931762695,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,1.5,20260211,False,0.8831006526410956,0.0,13396.659348160028,39.311866760253906,180,42.480865478515625,39.311866760253906,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,2.5,20260210,False,1.1239896559105478,0.0,18887.280979193747,38.33821487426758,377,41.49436950683594,38.33821487426758,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,2.5,20260211,False,1.1671911078152126,0.0,9469.859454780817,40.6890754699707,120,43.74815368652344,40.6890754699707,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,3.5,20260210,False,1.1643888464711238,0.0,15884.944001212716,41.000389099121094,317,43.90494155883789,41.000389099121094,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.9903420122971277,0.0,4185.75497251004,39.62061309814453,69,42.270484924316406,39.62061309814453,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,4.5,20260210,False,1.2609678667564947,0.0,13686.860436573625,38.78146743774414,165,41.80765151977539,38.78146743774414,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,4.5,20260211,False,1.2273059263527062,0.0,2833.4902776405215,39.47599792480469,69,42.17280197143555,39.47599792480469,asm_icp_gpu,c03,0.5,0.02,False,80,40,0.001,0.9
asm,0.5,20260210,True,0.034135182795501956,0.0,21415.18534347415,42.20301055908203,9399,46.010223388671875,42.20301055908203,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,0.5,20260211,True,0.03903220634347369,0.0,19649.698505178094,48.719486236572266,9044,53.380306243896484,48.719486236572266,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,1.5,20260210,True,0.08031007688611237,0.0,18142.13344734162,36.0319938659668,3425,40.223289489746094,36.0319938659668,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,1.5,20260211,True,0.09158195370976897,0.0,13394.343489781022,49.2725715637207,4605,53.10452651977539,49.2725715637207,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482981429800569,0.0,18873.844106681645,45.987491607666016,5499,49.92654800415039,45.987491607666016,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,2.5,20260211,False,0.1540477342992107,0.0,9374.532958492637,50.13215637207031,3248,53.859737396240234,50.13215637207031,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,3.5,20260210,False,0.20771359947503656,0.0,16100.806674920022,47.944271087646484,4941,51.79191970825195,47.944271087646484,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.21135227320121924,0.0,4187.456577084959,48.445594787597656,1511,52.68621826171875,48.445594787597656,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,4.5,20260210,False,0.26636734585005606,0.0,13629.10838238895,49.317317962646484,4127,53.10578918457031,49.317317962646484,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,4.5,20260211,False,0.2745332824112635,0.0,2842.6011987030506,51.78689193725586,1313,55.501060485839844,51.78689193725586,asm_icp_gpu,c04,0.7,0.05,True,80,40,0.001,0.9
asm,0.5,20260210,True,0.034135182795501956,0.0,21420.39493750781,42.20301055908203,9399,46.010223388671875,42.20301055908203,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03903220634347369,0.0,19585.05347184837,48.719486236572266,9044,53.380306243896484,48.719486236572266,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,1.5,20260210,True,0.08031007688611237,0.0,18147.179996594787,36.0319938659668,3425,40.223289489746094,36.0319938659668,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,1.5,20260211,True,0.09158195370976897,0.0,13346.141573041677,49.2725715637207,4605,53.10452651977539,49.2725715637207,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482981429800569,0.0,18897.233800031245,45.987491607666016,5499,49.92654800415039,45.987491607666016,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,2.5,20260211,False,0.1540477342992107,0.0,9424.36440847814,50.13215637207031,3248,53.859737396240234,50.13215637207031,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,3.5,20260210,False,0.20771359947503656,0.0,16085.286502726376,47.944271087646484,4941,51.79191970825195,47.944271087646484,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.21135227320121924,0.0,4183.6155178025365,48.445594787597656,1511,52.68621826171875,48.445594787597656,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,4.5,20260210,False,0.26636734585005606,0.0,13653.068765997887,49.317317962646484,4127,53.10578918457031,49.317317962646484,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,4.5,20260211,False,0.2745332824112635,0.0,2816.251796670258,51.78689193725586,1313,55.501060485839844,51.78689193725586,asm_icp_gpu,c05,0.7,0.05,False,80,40,0.001,0.9
asm,0.5,20260210,False,1.2299161684056266,0.0,21471.717419102788,39.5817756652832,271,43.1654052734375,39.5817756652832,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,0.5,20260211,True,0.03903220634347369,0.0,19647.94362243265,48.719486236572266,9044,53.380306243896484,48.719486236572266,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,1.5,20260210,False,1.1581018114218475,0.0,18128.881151787937,34.13456726074219,249,38.71498107910156,34.13456726074219,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,1.5,20260211,True,0.09158195370976897,0.0,13344.491287134588,49.2725715637207,4605,53.10452651977539,49.2725715637207,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,2.5,20260210,False,1.236509101014688,0.0,18876.277801580727,45.2001953125,458,49.904884338378906,45.2001953125,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,2.5,20260211,False,0.1540477342992107,0.0,9381.53178524226,50.13215637207031,3248,53.859737396240234,50.13215637207031,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,3.5,20260210,False,0.20771359947503656,0.0,16108.48018154502,47.944271087646484,4941,51.79191970825195,47.944271087646484,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.21135227320121924,0.0,4186.488778330386,48.445594787597656,1511,52.68621826171875,48.445594787597656,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,4.5,20260210,False,0.26636734585005606,0.0,13657.1438126266,49.317317962646484,4127,53.10578918457031,49.317317962646484,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,4.5,20260211,False,0.2745332824112635,0.0,2813.037787564099,51.78689193725586,1313,55.501060485839844,51.78689193725586,asm_icp_gpu,c06,0.7,0.02,True,80,40,0.001,0.9
asm,0.5,20260210,False,1.2299161684056266,0.0,21422.595229931176,39.5817756652832,271,43.1654052734375,39.5817756652832,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03903220634347369,0.0,19810.786527581513,48.719486236572266,9044,53.380306243896484,48.719486236572266,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,1.5,20260210,False,1.1581018114218475,0.0,18139.88145440817,34.13456726074219,249,38.71498107910156,34.13456726074219,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,1.5,20260211,True,0.09158195370976897,0.0,13415.366353467107,49.2725715637207,4605,53.10452651977539,49.2725715637207,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,2.5,20260210,False,1.236509101014688,0.0,19009.50602348894,45.2001953125,458,49.904884338378906,45.2001953125,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,2.5,20260211,False,0.1540477342992107,0.0,9516.962058842182,50.13215637207031,3248,53.859737396240234,50.13215637207031,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,3.5,20260210,False,0.20771359947503656,0.0,16084.981504827738,47.944271087646484,4941,51.79191970825195,47.944271087646484,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.21135227320121924,0.0,4215.818198397756,48.445594787597656,1511,52.68621826171875,48.445594787597656,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,4.5,20260210,False,0.26636734585005606,0.0,13643.73341575265,49.317317962646484,4127,53.10578918457031,49.317317962646484,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,4.5,20260211,False,0.2745332824112635,0.0,2813.795489259064,51.78689193725586,1313,55.501060485839844,51.78689193725586,asm_icp_gpu,c07,0.7,0.02,False,80,40,0.001,0.9
asm,0.5,20260210,True,0.03415756494820582,0.0,21888.121373020113,42.21473693847656,9400,46.0512580871582,42.21473693847656,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,0.5,20260211,True,0.03963635967027993,0.0,19931.46182782948,48.548309326171875,9624,54.38410186767578,48.548309326171875,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,1.5,20260210,True,0.08030990934436655,0.0,18131.703970953822,36.01316833496094,3427,40.219932556152344,36.01316833496094,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,1.5,20260211,True,0.09148629311263487,0.0,13367.374189198017,49.357627868652344,4638,53.32352828979492,49.357627868652344,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482588081035867,0.0,18887.256392277777,46.03790283203125,5506,50.00637435913086,46.03790283203125,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,2.5,20260211,False,0.15379060558413413,0.0,9368.959939107299,50.3649787902832,3251,54.22881317138672,50.3649787902832,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,3.5,20260210,False,0.2076227506246008,0.0,16123.292501084507,47.794891357421875,4929,51.92963790893555,47.794891357421875,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.2110236140558656,0.0,4187.667693011463,50.23469924926758,1580,55.31764221191406,50.23469924926758,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,4.5,20260210,False,0.2665296225898582,0.0,13731.424301862717,49.424713134765625,4144,53.339534759521484,49.424713134765625,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,4.5,20260211,False,0.2744334667168714,0.0,2823.9213190972805,52.47411346435547,1344,56.57341003417969,52.47411346435547,asm_icp_gpu,c08,1.0,0.05,True,80,40,0.001,0.9
asm,0.5,20260210,True,0.03415756494820582,0.0,21544.93829421699,42.21473693847656,9400,46.0512580871582,42.21473693847656,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03963635967027993,0.0,19847.4854901433,48.548309326171875,9624,54.38410186767578,48.548309326171875,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,1.5,20260210,True,0.08030990934436655,0.0,18140.742288902402,36.01316833496094,3427,40.219932556152344,36.01316833496094,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,1.5,20260211,True,0.09148629311263487,0.0,13392.124079167843,49.357627868652344,4638,53.32352828979492,49.357627868652344,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482588081035867,0.0,18847.615467384458,46.03790283203125,5506,50.00637435913086,46.03790283203125,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,2.5,20260211,False,0.15379060558413413,0.0,9412.749838083982,50.3649787902832,3251,54.22881317138672,50.3649787902832,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,3.5,20260210,False,0.2076227506246008,0.0,16258.596283383667,47.794891357421875,4929,51.92963790893555,47.794891357421875,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.2110236140558656,0.0,4213.183030486107,50.23469924926758,1580,55.31764221191406,50.23469924926758,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,4.5,20260210,False,0.2665296225898582,0.0,13662.142956629395,49.424713134765625,4144,53.339534759521484,49.424713134765625,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,4.5,20260211,False,0.2744334667168714,0.0,2828.9908040314913,52.47411346435547,1344,56.57341003417969,52.47411346435547,asm_icp_gpu,c09,1.0,0.05,False,80,40,0.001,0.9
asm,0.5,20260210,False,1.2296912481932434,0.0,21762.570276856422,39.303184509277344,269,42.835262298583984,39.303184509277344,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,0.5,20260211,True,0.03963635967027993,0.0,19738.745187409222,48.548309326171875,9624,54.38410186767578,48.548309326171875,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,1.5,20260210,True,0.08030990934436655,0.0,18208.048281259835,36.01316833496094,3427,40.219932556152344,36.01316833496094,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,1.5,20260211,True,0.09148629311263487,0.0,14007.469043135643,49.357627868652344,4638,53.32352828979492,49.357627868652344,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482588081035867,0.0,18992.10426211357,46.03790283203125,5506,50.00637435913086,46.03790283203125,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,2.5,20260211,False,0.15379060558413413,0.0,9385.796526446939,50.3649787902832,3251,54.22881317138672,50.3649787902832,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,3.5,20260210,False,0.2076227506246008,0.0,16403.457296080887,47.794891357421875,4929,51.92963790893555,47.794891357421875,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.2110236140558656,0.0,4186.781561933458,50.23469924926758,1580,55.31764221191406,50.23469924926758,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,4.5,20260210,False,0.2665296225898582,0.0,13794.115603901446,49.424713134765625,4144,53.339534759521484,49.424713134765625,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,4.5,20260211,False,0.2744334667168714,0.0,2812.072985805571,52.47411346435547,1344,56.57341003417969,52.47411346435547,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,0.5,20260210,False,1.2296912481932434,0.0,21479.626392945647,39.303184509277344,269,42.835262298583984,39.303184509277344,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03963635967027993,0.0,19766.544304788113,48.548309326171875,9624,54.38410186767578,48.548309326171875,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,1.5,20260210,True,0.08030990934436655,0.0,18238.473603501916,36.01316833496094,3427,40.219932556152344,36.01316833496094,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,1.5,20260211,True,0.09148629311263487,0.0,13444.042764604092,49.357627868652344,4638,53.32352828979492,49.357627868652344,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482588081035867,0.0,18952.715477906168,46.03790283203125,5506,50.00637435913086,46.03790283203125,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,2.5,20260211,False,0.15379060558413413,0.0,9547.449493780732,50.3649787902832,3251,54.22881317138672,50.3649787902832,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,3.5,20260210,False,0.2076227506246008,0.0,16243.257851339877,47.794891357421875,4929,51.92963790893555,47.794891357421875,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.2110236140558656,0.0,4198.168714530766,50.23469924926758,1580,55.31764221191406,50.23469924926758,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,4.5,20260210,False,0.2665296225898582,0.0,13738.959638401866,49.424713134765625,4144,53.339534759521484,49.424713134765625,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,4.5,20260211,False,0.2744334667168714,0.0,2812.9994105547667,52.47411346435547,1344,56.57341003417969,52.47411346435547,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
