pitch_um,focal_mm,baseline_sr,baseline_rmse,baseline_dr,baseline_n,asm_sr,asm_rmse,asm_dr,asm_n,delta_sr,rmse_gain,range_gain,pass_14x
100.0,3.0,0.8888888888888888,0.04761967513071565,1.5,9,0.8333333333333334,0.032776800752171244,0.5,6,-0.05555555555555547,0.014842874378544403,0.3333333333333333,False
100.0,4.0,0.8888888888888888,0.05915729259899901,1.5,9,0.6666666666666666,0.0206758410751856,0.0,3,-0.2222222222222222,0.03848145152381341,0.0,False
100.0,5.0,0.8888888888888888,0.060430558404350666,1.5,9,0.8888888888888888,0.06034422495381152,1.5,9,0.0,8.633345053914859e-05,1.0,False
100.0,6.0,0.8888888888888888,0.06597799602510043,1.5,9,0.8888888888888888,0.06594969366165625,1.5,9,0.0,2.8302363444185352e-05,1.0,False
100.0,8.0,0.8888888888888888,0.07075835475922815,1.5,9,0.8888888888888888,0.06655119677347493,1.5,9,0.0,0.004207157985753218,1.0,False
100.0,10.0,0.8888888888888888,0.07093853048576008,1.5,9,0.8888888888888888,0.06754534919113137,1.5,9,0.0,0.0033931812946287193,1.0,False
100.0,12.0,0.8888888888888888,0.07165567287573651,1.5,9,0.8888888888888888,0.06991464253415156,1.5,9,0.0,0.0017410303415849593,1.0,False
120.0,3.0,0.8888888888888888,0.04786682495666934,1.5,9,0.8333333333333334,0.033069227197444616,0.5,6,-0.05555555555555547,0.014797597759224727,0.3333333333333333,False
120.0,4.0,0.8888888888888888,0.057935246933150504,1.5,9,0.8888888888888888,0.057845925815201704,1.5,9,0.0,8.932111794879988e-05,1.0,False
120.0,5.0,0.8888888888888888,0.059648455970273365,1.5,9,0.6666666666666666,0.02489462583848135,0.0,3,-0.2222222222222222,0.034753830131792014,0.0,False
120.0,6.0,0.8888888888888888,0.06613461141789345,1.5,9,0.8888888888888888,0.06600983347239678,1.5,9,0.0,0.00012477794549667354,1.0,False
120.0,8.0,0.8888888888888888,0.0678811829478534,1.5,9,0.8888888888888888,0.06780581704031459,1.5,9,0.0,7.536590753881578e-05,1.0,False
120.0,10.0,0.8888888888888888,0.07064234978233301,1.5,9,0.8888888888888888,0.06809781053281283,1.5,9,0.0,0.0025445392495201807,1.0,False
120.0,12.0,0.8888888888888888,0.07120525593790007,1.5,9,0.8888888888888888,0.07120856292431679,1.5,9,0.0,-3.3069864167206697e-06,1.0,False
150.0,3.0,0.75,0.07331028134697287,2.5,12,0.6666666666666666,0.03633932475848778,0.5,6,-0.08333333333333337,0.03697095658848509,0.2,False
150.0,4.0,0.8888888888888888,0.06973555074419424,1.5,9,0.8333333333333334,0.0426440941906895,0.5,6,-0.05555555555555547,0.027091456553504742,0.3333333333333333,False
150.0,5.0,0.8888888888888888,0.06864613828486177,1.5,9,0.7777777777777778,0.05874541519669062,1.5,9,-0.11111111111111105,0.009900723088171151,1.0,False
150.0,6.0,0.8888888888888888,0.07492392492142799,1.5,9,0.8888888888888888,0.07524325562453735,1.5,9,0.0,-0.0003193307031093551,1.0,False
150.0,8.0,0.8888888888888888,0.07486363970777402,1.5,9,0.8888888888888888,0.07471093531495304,1.5,9,0.0,0.0001527043928209737,1.0,False
150.0,10.0,0.75,0.08357107214391704,2.5,12,0.75,0.08361676376473998,2.5,12,0.0,-4.569162082293521e-05,1.0,False
150.0,12.0,0.8888888888888888,0.07513910325038048,1.5,9,0.8888888888888888,0.07515598473367446,1.5,9,0.0,-1.6881483293984534e-05,1.0,False
180.0,3.0,0.75,0.07814792117692118,2.5,12,0.5,0.027180042116825735,0.5,6,-0.25,0.05096787906009545,0.2,False
180.0,4.0,0.75,0.08103262873782928,2.5,12,0.8333333333333334,0.04625093247584998,0.5,6,0.08333333333333337,0.0347816962619793,0.2,False
180.0,5.0,0.8888888888888888,0.0716247361004876,1.5,9,0.7777777777777778,0.06299310305654901,1.5,9,-0.11111111111111105,0.008631633043938589,1.0,False
180.0,6.0,0.7777777777777778,0.06270482583445926,1.5,9,0.7777777777777778,0.062423054471113175,1.5,9,0.0,0.0002817713633460825,1.0,False
180.0,8.0,0.8888888888888888,0.07530532749723737,1.5,9,0.8888888888888888,0.0749123152253372,1.5,9,0.0,0.0003930122719001672,1.0,False
180.0,10.0,0.8888888888888888,0.07708920323486268,1.5,9,0.8888888888888888,0.07716120856417279,1.5,9,0.0,-7.200532931010695e-05,1.0,False
180.0,12.0,0.8888888888888888,0.07965347337049028,1.5,9,0.8888888888888888,0.07935637863054923,1.5,9,0.0,0.0002970947399410506,1.0,False
200.0,3.0,0.8888888888888888,0.06822546473291251,1.5,9,0.5,0.0286378618461953,0.5,6,-0.38888888888888884,0.03958760288671721,0.3333333333333333,False
200.0,4.0,0.75,0.08307335091533667,2.5,12,0.8333333333333334,0.04890041480382074,0.5,6,0.08333333333333337,0.03417293611151593,0.2,False
200.0,5.0,0.8888888888888888,0.07389857474346787,1.5,9,0.7777777777777778,0.06216268682323901,1.5,9,-0.11111111111111105,0.011735887920228852,1.0,False
200.0,6.0,0.7777777777777778,0.06517638794115649,1.5,9,0.8888888888888888,0.07481140085002895,1.5,9,0.11111111111111105,-0.009635012908872462,1.0,False
200.0,8.0,0.8888888888888888,0.07587014832714936,1.5,9,0.8888888888888888,0.07511679860267773,1.5,9,0.0,0.0007533497244716358,1.0,False
200.0,10.0,0.8888888888888888,0.07613163388481732,1.5,9,0.8888888888888888,0.07550678235649402,1.5,9,0.0,0.0006248515283232975,1.0,False
200.0,12.0,0.7777777777777778,0.0682492627523033,1.5,9,0.7777777777777778,0.06818478423014014,1.5,9,0.0,6.447852216315275e-05,1.0,False
250.0,3.0,0.8888888888888888,0.06784925804524289,1.5,9,0.5,0.024154637187699297,0.5,6,-0.38888888888888884,0.043694620857543595,0.3333333333333333,False
250.0,4.0,0.8888888888888888,0.07156182072161003,1.5,9,0.8333333333333334,0.04231717905969978,0.5,6,-0.05555555555555547,0.02924464166191025,0.3333333333333333,False
250.0,5.0,0.8888888888888888,0.0740335514561463,1.5,9,0.7777777777777778,0.060366129686798074,1.5,9,-0.11111111111111105,0.01366742176934823,1.0,False
250.0,6.0,0.8888888888888888,0.07617189476829264,1.5,9,0.75,0.08378238465792182,2.5,12,-0.13888888888888884,-0.007610489889629174,1.6666666666666667,False
250.0,8.0,0.8333333333333334,0.04887635591155556,0.5,6,0.8333333333333334,0.048591409907512,0.5,6,0.0,0.00028494600404355835,1.0,False
250.0,10.0,0.8888888888888888,0.07592236410698275,1.5,9,0.8888888888888888,0.0758769415521459,1.5,9,0.0,4.542255483684643e-05,1.0,False
250.0,12.0,0.8888888888888888,0.08072610282740966,1.5,9,0.8888888888888888,0.07980813327769182,1.5,9,0.0,0.0009179695497178453,1.0,False
300.0,3.0,0.8888888888888888,0.06811023701648866,1.5,9,0.5,0.029023845198735004,0.5,6,-0.38888888888888884,0.039086391817753655,0.3333333333333333,False
300.0,4.0,0.8888888888888888,0.07291731256486077,1.5,9,0.8333333333333334,0.04637858622367704,0.5,6,-0.05555555555555547,0.026538726341183726,0.3333333333333333,False
300.0,5.0,0.8333333333333334,0.04239381832729666,0.5,6,0.8333333333333334,0.0405914567084414,0.5,6,0.0,0.001802361618855261,1.0,False
300.0,6.0,0.75,0.08245859111352034,2.5,12,0.75,0.0816153386842246,2.5,12,0.0,0.0008432524292957405,1.0,False
300.0,8.0,0.75,0.08514981148527595,2.5,12,0.75,0.08449887968945727,2.5,12,0.0,0.0006509317958186822,1.0,False
300.0,10.0,0.8888888888888888,0.07724443450446855,1.5,9,0.8888888888888888,0.07651335023703848,1.5,9,0.0,0.000731084267430071,1.0,False
300.0,12.0,0.8888888888888888,0.08478522733707466,1.5,9,0.8888888888888888,0.08409152720644046,1.5,9,0.0,0.0006937001306342033,1.0,False
